age,job,marital,education,housing,loan,contact,campaign,previous,poutcome,y
29,admin.,single,university.degree,no,no,cellular,7,0,nonexistent,no
51,admin.,married,university.degree,yes,no,cellular,1,0,nonexistent,no
39,admin.,married,university.degree,no,no,cellular,1,0,nonexistent,no
32,services,married,basic.4y,no,no,cellular,2,0,nonexistent,no
36,blue-collar,married,basic.6y,yes,no,cellular,2,0,nonexistent,no
49,management,divorced,university.degree,no,no,cellular,2,1,success,no
35,blue-collar,single,basic.6y,no,no,cellular,1,1,failure,no
56,admin.,single,university.degree,no,yes,cellular,1,1,failure,no
29,self-employed,single,university.degree,yes,no,cellular,1,0,nonexistent,no
25,self-employed,single,university.degree,no,no,cellular,2,1,failure,no
28,services,single,high.school,no,no,cellular,4,0,nonexistent,no
34,technician,married,professional.course,yes,no,cellular,4,0,nonexistent,no
44,blue-collar,married,basic.6y,no,no,cellular,1,0,nonexistent,no
75,retired,married,basic.9y,no,no,cellular,2,0,nonexistent,no
28,services,married,high.school,yes,no,telephone,4,0,nonexistent,no
33,technician,single,professional.course,no,no,cellular,1,0,nonexistent,no
58,management,married,basic.6y,no,no,cellular,2,1,failure,no
29,blue-collar,married,basic.9y,yes,no,cellular,6,0,nonexistent,no
35,technician,married,professional.course,yes,yes,cellular,3,0,nonexistent,no
74,retired,divorced,basic.4y,yes,yes,cellular,2,0,nonexistent,no
56,admin.,divorced,university.degree,no,no,cellular,4,0,nonexistent,no
34,management,married,university.degree,yes,no,telephone,1,0,nonexistent,no
31,admin.,married,basic.9y,yes,no,cellular,3,0,nonexistent,no
43,blue-collar,married,basic.4y,no,no,cellular,2,0,nonexistent,no
60,admin.,married,university.degree,yes,no,telephone,1,0,nonexistent,yes
47,technician,married,professional.course,yes,no,cellular,3,0,nonexistent,no
26,admin.,single,university.degree,yes,no,cellular,5,0,nonexistent,no
41,technician,single,university.degree,yes,no,cellular,1,1,failure,no
31,blue-collar,married,basic.9y,yes,no,telephone,4,0,nonexistent,yes
41,technician,single,professional.course,yes,no,telephone,1,0,nonexistent,no
58,housemaid,married,high.school,unknown,unknown,telephone,4,0,nonexistent,no
39,services,single,high.school,yes,no,cellular,1,1,failure,no
30,services,married,high.school,yes,no,cellular,4,1,failure,no
32,self-employed,single,high.school,yes,yes,cellular,2,0,nonexistent,no
27,unemployed,single,university.degree,yes,no,cellular,1,0,nonexistent,no
50,blue-collar,married,unknown,no,no,telephone,2,0,nonexistent,no
40,admin.,single,high.school,no,no,cellular,6,0,nonexistent,no
33,technician,married,professional.course,no,yes,cellular,3,1,failure,no
52,housemaid,single,university.degree,no,no,cellular,3,0,nonexistent,no
28,technician,single,professional.course,no,no,cellular,1,1,success,yes
45,entrepreneur,divorced,professional.course,yes,no,cellular,3,0,nonexistent,no
33,admin.,married,high.school,yes,no,telephone,2,0,nonexistent,no
38,technician,married,professional.course,no,yes,cellular,2,0,nonexistent,yes
33,technician,divorced,professional.course,yes,no,telephone,2,0,nonexistent,no
37,admin.,divorced,university.degree,yes,no,telephone,1,0,nonexistent,no
40,student,single,high.school,yes,no,cellular,1,0,nonexistent,no
41,self-employed,married,high.school,no,no,telephone,4,0,nonexistent,no
24,blue-collar,single,high.school,yes,no,cellular,1,3,failure,no
53,technician,married,professional.course,no,no,telephone,6,0,nonexistent,no
56,admin.,married,unknown,yes,no,telephone,1,0,nonexistent,no
37,admin.,married,high.school,no,no,cellular,1,0,nonexistent,no
36,services,divorced,basic.9y,yes,no,cellular,2,0,nonexistent,no
40,technician,married,university.degree,no,no,telephone,1,0,nonexistent,no
35,technician,single,professional.course,yes,no,cellular,3,0,nonexistent,no
31,blue-collar,married,basic.9y,unknown,unknown,telephone,1,0,nonexistent,no
31,blue-collar,married,basic.4y,no,no,telephone,2,0,nonexistent,no
46,management,married,basic.9y,no,no,telephone,2,0,nonexistent,no
27,services,single,high.school,no,no,cellular,5,0,nonexistent,no
41,admin.,married,university.degree,no,no,cellular,2,1,failure,yes
36,technician,single,professional.course,no,no,cellular,1,1,failure,no
57,self-employed,married,unknown,yes,no,telephone,1,0,nonexistent,no
26,management,single,university.degree,yes,no,cellular,1,0,nonexistent,no
31,admin.,married,university.degree,no,no,cellular,4,0,nonexistent,no
36,blue-collar,single,basic.4y,no,no,telephone,1,0,nonexistent,no
43,blue-collar,divorced,basic.9y,unknown,unknown,cellular,1,0,nonexistent,no
39,unemployed,single,high.school,yes,no,cellular,3,0,nonexistent,no
29,admin.,single,high.school,no,no,cellular,2,3,success,yes
38,blue-collar,married,professional.course,no,yes,cellular,1,1,failure,no
38,admin.,single,university.degree,yes,no,cellular,2,0,nonexistent,no
33,technician,single,professional.course,no,no,cellular,3,0,nonexistent,no
32,blue-collar,married,basic.6y,no,yes,telephone,2,0,nonexistent,no
38,blue-collar,married,basic.9y,yes,no,telephone,4,0,nonexistent,no
32,admin.,single,university.degree,no,no,cellular,1,0,nonexistent,no
35,admin.,married,university.degree,no,no,cellular,6,0,nonexistent,no
48,entrepreneur,divorced,university.degree,yes,no,cellular,2,0,nonexistent,no
33,admin.,married,university.degree,no,no,cellular,1,0,nonexistent,no
30,technician,single,professional.course,yes,no,cellular,2,0,nonexistent,no
38,admin.,married,basic.9y,no,no,telephone,2,0,nonexistent,no
34,admin.,divorced,university.degree,yes,no,cellular,4,0,nonexistent,no
42,technician,married,high.school,no,no,telephone,1,0,nonexistent,no
46,services,married,basic.4y,yes,no,cellular,3,1,failure,no
39,admin.,married,high.school,yes,no,cellular,3,0,nonexistent,no
60,management,married,basic.4y,no,no,cellular,2,0,nonexistent,no
45,admin.,married,university.degree,yes,no,cellular,3,0,nonexistent,no
30,services,divorced,basic.9y,yes,no,telephone,1,0,nonexistent,no
53,blue-collar,married,basic.9y,yes,no,cellular,2,0,nonexistent,no
65,technician,married,professional.course,no,no,cellular,1,0,nonexistent,no
33,technician,married,professional.course,no,no,telephone,1,0,nonexistent,no
47,services,divorced,high.school,no,no,telephone,3,0,nonexistent,no
55,blue-collar,single,basic.6y,yes,no,cellular,2,0,nonexistent,no
53,entrepreneur,divorced,unknown,no,no,telephone,1,0,nonexistent,no
38,technician,single,university.degree,yes,no,telephone,12,0,nonexistent,no
41,self-employed,married,basic.9y,no,no,cellular,2,0,nonexistent,no
51,entrepreneur,married,university.degree,yes,yes,cellular,2,0,nonexistent,no
55,admin.,married,high.school,yes,no,telephone,2,0,nonexistent,no
39,admin.,single,high.school,no,no,telephone,1,0,nonexistent,no
51,blue-collar,single,illiterate,yes,no,cellular,3,0,nonexistent,no
42,blue-collar,married,basic.4y,yes,no,cellular,3,0,nonexistent,no
29,self-employed,married,university.degree,yes,no,cellular,7,0,nonexistent,no
53,management,married,university.degree,no,no,telephone,1,0,nonexistent,no
52,admin.,married,university.degree,no,no,cellular,3,1,failure,yes
45,unemployed,divorced,high.school,no,no,cellular,1,0,nonexistent,no
54,admin.,married,university.degree,yes,yes,cellular,2,0,nonexistent,yes
46,housemaid,married,basic.4y,no,yes,telephone,1,0,nonexistent,no
30,technician,single,professional.course,yes,no,telephone,4,0,nonexistent,no
26,housemaid,married,basic.4y,yes,no,cellular,1,0,nonexistent,no
51,technician,single,university.degree,yes,no,cellular,1,0,nonexistent,yes
45,services,single,unknown,no,no,cellular,2,0,nonexistent,no
39,admin.,married,professional.course,no,no,cellular,2,0,nonexistent,no
75,retired,married,basic.4y,no,yes,cellular,1,0,nonexistent,yes
46,services,married,basic.9y,no,no,cellular,2,0,nonexistent,no
58,blue-collar,married,basic.6y,yes,yes,telephone,3,0,nonexistent,no
29,admin.,single,university.degree,yes,no,telephone,6,0,nonexistent,no
32,technician,married,professional.course,no,no,telephone,1,0,nonexistent,no
35,admin.,married,university.degree,yes,yes,telephone,1,0,nonexistent,no
40,admin.,divorced,high.school,yes,no,cellular,1,0,nonexistent,no
29,technician,married,professional.course,yes,no,cellular,1,0,nonexistent,no
42,housemaid,single,basic.4y,yes,no,telephone,3,0,nonexistent,no
36,blue-collar,married,high.school,yes,no,cellular,11,0,nonexistent,no
51,services,married,professional.course,no,no,telephone,7,0,nonexistent,no
45,technician,married,university.degree,no,yes,telephone,4,0,nonexistent,yes
39,admin.,married,high.school,yes,no,cellular,1,1,failure,no
54,admin.,married,university.degree,no,yes,telephone,2,0,nonexistent,no
39,admin.,married,basic.9y,no,no,cellular,2,0,nonexistent,no
36,self-employed,single,university.degree,yes,no,cellular,3,0,nonexistent,no
46,entrepreneur,married,unknown,yes,no,cellular,4,0,nonexistent,no
46,blue-collar,married,basic.6y,no,no,cellular,1,0,nonexistent,no
45,blue-collar,married,basic.9y,no,no,telephone,9,0,nonexistent,no
39,blue-collar,married,basic.9y,no,no,cellular,1,0,nonexistent,no
40,technician,married,professional.course,yes,no,cellular,1,1,failure,no
34,services,single,high.school,yes,no,cellular,3,1,failure,no
33,admin.,married,high.school,yes,no,cellular,1,0,nonexistent,no
59,services,married,high.school,yes,no,cellular,5,0,nonexistent,no
55,blue-collar,divorced,basic.9y,yes,no,telephone,6,0,nonexistent,no
54,blue-collar,married,basic.4y,yes,no,cellular,5,0,nonexistent,no
52,services,single,high.school,yes,no,telephone,1,0,nonexistent,no
35,blue-collar,married,basic.4y,yes,no,telephone,4,0,nonexistent,no
56,blue-collar,married,basic.4y,no,no,telephone,1,0,nonexistent,no
31,blue-collar,single,professional.course,yes,no,cellular,5,1,failure,no
50,services,married,high.school,no,no,cellular,1,0,nonexistent,no
32,services,married,high.school,no,no,cellular,1,1,failure,no
28,self-employed,married,university.degree,no,no,cellular,3,0,nonexistent,no
56,retired,divorced,basic.4y,no,no,telephone,4,0,nonexistent,no
41,admin.,married,university.degree,yes,no,cellular,1,0,nonexistent,no
53,technician,divorced,high.school,yes,yes,cellular,1,0,nonexistent,no
47,admin.,married,university.degree,yes,yes,cellular,1,1,success,no
27,entrepreneur,married,university.degree,no,yes,cellular,1,1,failure,no
34,services,divorced,basic.6y,no,no,cellular,1,0,nonexistent,no
43,admin.,single,university.degree,yes,no,cellular,1,0,nonexistent,no
42,admin.,married,university.degree,no,no,telephone,5,1,success,no
48,admin.,married,high.school,no,no,telephone,3,0,nonexistent,no
37,technician,married,professional.course,yes,no,cellular,3,0,nonexistent,no
37,technician,married,university.degree,no,no,telephone,2,0,nonexistent,no
52,admin.,married,high.school,no,no,telephone,2,0,nonexistent,no
35,admin.,married,high.school,no,yes,cellular,2,1,failure,no
85,retired,married,basic.4y,no,no,cellular,3,0,nonexistent,no
50,housemaid,divorced,basic.4y,no,no,telephone,1,0,nonexistent,no
29,technician,single,university.degree,yes,no,telephone,1,0,nonexistent,no
32,blue-collar,married,basic.6y,yes,no,cellular,3,0,nonexistent,no
53,services,married,high.school,yes,no,telephone,1,0,nonexistent,no
54,retired,married,high.school,yes,no,cellular,1,0,nonexistent,no
42,blue-collar,divorced,high.school,yes,no,telephone,1,0,nonexistent,no
36,housemaid,single,university.degree,unknown,unknown,cellular,2,1,success,no
31,entrepreneur,divorced,basic.4y,no,no,cellular,1,1,success,no
38,blue-collar,single,basic.4y,no,no,telephone,5,0,nonexistent,no
38,entrepreneur,married,university.degree,no,no,telephone,3,0,nonexistent,no
48,blue-collar,married,basic.4y,yes,no,cellular,6,0,nonexistent,no
56,services,single,high.school,yes,no,cellular,6,0,nonexistent,no
49,management,married,university.degree,yes,no,cellular,1,0,nonexistent,no
39,technician,single,university.degree,yes,no,cellular,1,0,nonexistent,no
49,services,divorced,high.school,no,no,cellular,3,1,failure,no
27,technician,single,university.degree,yes,no,cellular,1,1,success,yes
44,unknown,divorced,unknown,no,no,cellular,1,0,nonexistent,no
27,blue-collar,single,basic.6y,unknown,unknown,telephone,1,0,nonexistent,no
32,technician,married,university.degree,no,no,cellular,1,0,nonexistent,no
34,admin.,married,professional.course,no,yes,cellular,1,0,nonexistent,no
38,technician,married,university.degree,no,no,cellular,1,0,nonexistent,yes
35,services,married,high.school,no,no,cellular,2,1,success,no
31,admin.,married,university.degree,yes,yes,cellular,2,0,nonexistent,no
49,services,married,basic.6y,yes,no,cellular,2,0,nonexistent,no
30,entrepreneur,single,basic.9y,yes,no,cellular,5,0,nonexistent,no
28,admin.,married,high.school,no,no,telephone,2,0,nonexistent,no
27,unemployed,single,university.degree,yes,no,cellular,1,0,nonexistent,no
54,retired,divorced,professional.course,no,no,telephone,3,0,nonexistent,no
28,services,married,high.school,yes,no,cellular,1,0,nonexistent,no
24,services,married,high.school,yes,no,telephone,2,0,nonexistent,no
38,admin.,married,university.degree,no,no,telephone,4,0,nonexistent,no
37,technician,single,university.degree,yes,no,telephone,2,0,nonexistent,no
59,housemaid,married,basic.4y,yes,no,cellular,2,0,nonexistent,no
36,services,married,high.school,no,no,cellular,3,0,nonexistent,no
54,retired,divorced,basic.4y,no,no,telephone,1,0,nonexistent,no
28,technician,single,professional.course,no,no,cellular,2,0,nonexistent,no
43,admin.,single,high.school,no,yes,telephone,5,0,nonexistent,no
44,blue-collar,married,basic.4y,no,no,telephone,2,0,nonexistent,no
46,unemployed,married,basic.9y,no,no,cellular,2,0,nonexistent,no
45,admin.,married,basic.9y,yes,yes,cellular,3,0,nonexistent,no
28,blue-collar,single,basic.9y,yes,no,cellular,2,0,nonexistent,no
43,technician,divorced,unknown,no,no,telephone,9,0,nonexistent,no
51,technician,single,basic.9y,yes,no,telephone,3,0,nonexistent,no
28,management,married,university.degree,no,no,telephone,4,0,nonexistent,no
27,blue-collar,single,high.school,unknown,unknown,cellular,3,0,nonexistent,no
35,admin.,divorced,high.school,yes,no,cellular,1,1,failure,no
48,housemaid,married,basic.4y,yes,yes,cellular,3,0,nonexistent,no
34,technician,married,professional.course,yes,yes,telephone,3,0,nonexistent,no
33,admin.,married,high.school,no,no,telephone,1,0,nonexistent,no
44,blue-collar,married,basic.6y,yes,no,cellular,2,0,nonexistent,no
24,technician,married,unknown,yes,no,telephone,3,0,nonexistent,no
29,admin.,single,high.school,no,no,cellular,2,0,nonexistent,no
30,admin.,married,unknown,no,no,cellular,3,0,nonexistent,no
54,admin.,married,university.degree,no,no,cellular,5,0,nonexistent,no
31,admin.,single,university.degree,yes,yes,cellular,1,0,nonexistent,no
45,blue-collar,married,basic.6y,no,no,cellular,1,0,nonexistent,yes
57,retired,married,unknown,yes,no,telephone,1,0,nonexistent,no
24,student,single,high.school,yes,no,cellular,2,0,nonexistent,no
39,admin.,married,university.degree,no,no,cellular,1,1,failure,yes
45,blue-collar,divorced,basic.9y,yes,no,telephone,3,0,nonexistent,no
52,retired,divorced,basic.4y,yes,yes,telephone,2,0,nonexistent,no
36,admin.,single,high.school,no,no,cellular,1,0,nonexistent,no
26,admin.,single,high.school,no,yes,telephone,2,0,nonexistent,no
44,admin.,single,university.degree,yes,no,cellular,1,0,nonexistent,no
31,admin.,married,university.degree,no,no,cellular,1,0,nonexistent,no
35,blue-collar,married,basic.6y,no,no,telephone,1,0,nonexistent,no
30,technician,married,university.degree,no,no,cellular,2,0,nonexistent,no
32,blue-collar,married,basic.6y,no,no,telephone,1,0,nonexistent,no
42,management,married,university.degree,yes,no,cellular,4,0,nonexistent,no
43,blue-collar,married,basic.9y,no,no,cellular,1,1,failure,yes
47,blue-collar,married,basic.4y,yes,no,cellular,2,0,nonexistent,no
36,admin.,married,university.degree,yes,no,cellular,1,0,nonexistent,no
39,blue-collar,married,basic.4y,yes,no,telephone,1,0,nonexistent,no
35,student,married,university.degree,yes,no,telephone,2,0,nonexistent,yes
45,blue-collar,married,professional.course,no,no,cellular,1,0,nonexistent,no
44,self-employed,single,university.degree,no,no,telephone,4,0,nonexistent,no
40,admin.,single,high.school,no,no,cellular,1,0,nonexistent,no
41,admin.,married,university.degree,yes,yes,telephone,1,0,nonexistent,no
51,technician,married,high.school,unknown,unknown,cellular,1,0,nonexistent,yes
66,retired,married,basic.4y,yes,yes,telephone,1,0,nonexistent,yes
32,blue-collar,married,basic.9y,no,no,telephone,1,0,nonexistent,no
40,services,married,basic.6y,no,no,cellular,2,0,nonexistent,no
33,blue-collar,married,professional.course,yes,no,telephone,2,0,nonexistent,no
28,student,single,unknown,no,no,cellular,4,0,nonexistent,no
38,technician,married,professional.course,no,no,telephone,1,0,nonexistent,no
33,blue-collar,married,basic.6y,no,no,cellular,1,0,nonexistent,no
36,admin.,married,university.degree,yes,yes,telephone,5,0,nonexistent,no
39,blue-collar,married,basic.4y,no,no,telephone,1,0,nonexistent,no
33,management,married,university.degree,yes,yes,cellular,3,1,failure,no
34,admin.,single,university.degree,no,no,telephone,1,0,nonexistent,yes
28,admin.,single,university.degree,yes,no,cellular,1,1,failure,yes
32,blue-collar,married,basic.9y,yes,no,telephone,3,0,nonexistent,no
60,admin.,divorced,high.school,yes,no,cellular,1,1,failure,no
41,services,married,high.school,no,no,cellular,2,0,nonexistent,yes
58,retired,married,basic.4y,no,no,cellular,1,0,nonexistent,no
28,services,married,high.school,yes,no,cellular,1,0,nonexistent,no
45,blue-collar,married,basic.6y,yes,no,cellular,1,0,nonexistent,no
36,services,married,high.school,yes,yes,telephone,17,0,nonexistent,no
41,blue-collar,married,basic.4y,no,no,telephone,2,0,nonexistent,no
35,self-employed,married,high.school,yes,no,cellular,2,0,nonexistent,no
44,services,married,high.school,yes,no,telephone,1,1,failure,no
27,technician,single,professional.course,no,no,cellular,6,1,failure,no
46,technician,single,basic.9y,yes,no,cellular,1,0,nonexistent,no
29,management,married,university.degree,no,no,cellular,4,0,nonexistent,no
41,blue-collar,married,basic.9y,no,no,telephone,5,0,nonexistent,no
56,services,married,basic.9y,no,no,telephone,3,0,nonexistent,no
31,entrepreneur,single,university.degree,no,no,cellular,1,0,nonexistent,no
41,blue-collar,married,high.school,no,no,cellular,1,0,nonexistent,no
38,services,married,high.school,yes,no,cellular,1,0,nonexistent,no
38,admin.,single,university.degree,no,no,cellular,2,0,nonexistent,no
40,technician,single,university.degree,no,no,telephone,1,0,nonexistent,no
40,self-employed,married,basic.9y,yes,yes,cellular,4,0,nonexistent,no
26,management,single,university.degree,no,no,cellular,1,0,nonexistent,yes
52,blue-collar,married,basic.4y,no,no,cellular,4,1,failure,no
29,management,divorced,basic.9y,yes,yes,cellular,2,0,nonexistent,no
38,management,married,high.school,yes,no,cellular,1,0,nonexistent,no
36,retired,married,unknown,no,no,telephone,2,0,nonexistent,no
44,admin.,single,university.degree,no,no,telephone,1,0,nonexistent,no
58,housemaid,married,professional.course,yes,no,cellular,10,0,nonexistent,no
53,admin.,married,high.school,yes,no,cellular,1,0,nonexistent,no
27,student,single,high.school,yes,yes,cellular,1,0,nonexistent,yes
27,admin.,single,high.school,yes,yes,telephone,5,0,nonexistent,no
39,housemaid,married,basic.9y,yes,yes,cellular,1,0,nonexistent,no
57,retired,married,basic.4y,yes,no,telephone,12,0,nonexistent,no
58,retired,divorced,university.degree,yes,no,cellular,1,0,nonexistent,yes
52,management,married,university.degree,yes,yes,cellular,1,0,nonexistent,no
48,admin.,married,high.school,yes,no,cellular,5,0,nonexistent,yes
46,services,married,high.school,yes,no,cellular,3,0,nonexistent,no
24,management,married,university.degree,unknown,unknown,cellular,2,0,nonexistent,no
36,blue-collar,married,basic.9y,yes,no,telephone,2,0,nonexistent,no
61,retired,married,university.degree,no,no,telephone,2,1,success,yes
53,self-employed,married,university.degree,no,no,cellular,2,0,nonexistent,no
50,retired,single,university.degree,yes,no,cellular,1,0,nonexistent,no
31,services,single,high.school,no,no,telephone,2,0,nonexistent,no
41,self-employed,married,unknown,no,no,cellular,2,1,failure,no
48,blue-collar,married,professional.course,yes,no,cellular,16,0,nonexistent,no
49,blue-collar,married,basic.4y,yes,no,telephone,2,0,nonexistent,no
46,admin.,divorced,university.degree,yes,yes,telephone,1,0,nonexistent,no
77,retired,divorced,professional.course,no,no,cellular,1,0,nonexistent,no
50,blue-collar,single,basic.9y,no,no,telephone,4,0,nonexistent,no
32,blue-collar,divorced,basic.9y,no,no,telephone,11,0,nonexistent,no
41,blue-collar,married,high.school,no,yes,telephone,1,0,nonexistent,no
40,blue-collar,single,basic.9y,no,no,cellular,6,0,nonexistent,no
45,admin.,married,basic.9y,no,no,telephone,2,0,nonexistent,no
41,housemaid,divorced,basic.9y,no,yes,cellular,1,0,nonexistent,no
25,self-employed,single,unknown,no,no,cellular,2,1,failure,no
26,student,single,unknown,no,no,cellular,1,1,failure,no
59,housemaid,divorced,basic.6y,yes,no,cellular,2,0,nonexistent,no
28,blue-collar,married,basic.6y,yes,no,telephone,1,0,nonexistent,no
40,blue-collar,divorced,basic.9y,no,no,cellular,1,1,failure,no
52,retired,married,university.degree,no,no,cellular,1,0,nonexistent,no
52,blue-collar,divorced,basic.4y,yes,no,cellular,1,1,failure,no
23,entrepreneur,married,university.degree,yes,no,cellular,1,0,nonexistent,no
36,technician,divorced,professional.course,yes,no,cellular,2,0,nonexistent,no
60,retired,married,basic.4y,unknown,unknown,cellular,1,3,failure,no
31,admin.,married,high.school,no,no,telephone,1,0,nonexistent,no
58,retired,married,high.school,no,no,cellular,1,0,nonexistent,no
30,housemaid,married,high.school,yes,no,telephone,2,0,nonexistent,no
51,retired,married,university.degree,no,no,cellular,3,0,nonexistent,no
29,technician,single,university.degree,no,no,cellular,3,0,nonexistent,no
29,management,single,university.degree,no,no,telephone,2,0,nonexistent,no
38,admin.,married,university.degree,unknown,unknown,cellular,1,0,nonexistent,yes
36,management,married,university.degree,no,yes,cellular,4,0,nonexistent,no
54,technician,married,basic.9y,no,no,telephone,9,0,nonexistent,no
29,blue-collar,married,basic.9y,no,no,telephone,5,0,nonexistent,no
29,admin.,married,high.school,no,no,telephone,1,0,nonexistent,no
53,blue-collar,married,basic.6y,yes,no,cellular,1,0,nonexistent,yes
41,blue-collar,married,basic.4y,no,no,telephone,5,0,nonexistent,no
30,admin.,single,high.school,no,no,telephone,2,0,nonexistent,yes
31,admin.,single,university.degree,yes,no,cellular,8,0,nonexistent,no
46,blue-collar,divorced,basic.9y,no,no,cellular,2,0,nonexistent,no
42,blue-collar,single,basic.6y,no,no,telephone,1,0,nonexistent,no
52,services,married,basic.6y,yes,no,cellular,2,0,nonexistent,no
48,admin.,married,unknown,no,no,cellular,1,0,nonexistent,no
27,technician,single,university.degree,yes,no,cellular,4,1,failure,no
21,admin.,single,high.school,no,no,cellular,1,0,nonexistent,no
58,technician,divorced,unknown,yes,no,cellular,4,0,nonexistent,no
22,blue-collar,single,basic.9y,yes,no,telephone,1,0,nonexistent,no
31,entrepreneur,married,high.school,yes,no,telephone,1,0,nonexistent,no
32,admin.,married,university.degree,yes,yes,cellular,3,0,nonexistent,no
31,admin.,married,university.degree,yes,no,cellular,1,0,nonexistent,no
34,management,divorced,university.degree,yes,yes,cellular,2,0,nonexistent,yes
37,admin.,single,university.degree,yes,yes,cellular,3,0,nonexistent,no
35,management,divorced,university.degree,no,no,cellular,2,1,failure,yes
32,admin.,married,high.school,yes,no,cellular,2,0,nonexistent,no
31,technician,single,professional.course,yes,no,cellular,3,0,nonexistent,no
24,blue-collar,single,basic.9y,no,no,cellular,3,0,nonexistent,no
45,admin.,married,university.degree,no,no,telephone,1,0,nonexistent,no
31,admin.,married,high.school,no,no,telephone,5,0,nonexistent,no
34,admin.,single,high.school,no,no,cellular,9,0,nonexistent,no
36,admin.,divorced,university.degree,no,no,telephone,2,0,nonexistent,no
34,blue-collar,married,basic.4y,no,no,telephone,4,0,nonexistent,no
33,technician,married,professional.course,yes,no,cellular,1,0,nonexistent,no
26,technician,single,high.school,yes,no,cellular,3,0,nonexistent,no
44,admin.,married,basic.9y,no,no,cellular,3,1,failure,no
34,admin.,single,high.school,yes,no,telephone,16,0,nonexistent,no
27,unemployed,single,university.degree,yes,yes,cellular,2,0,nonexistent,yes
30,self-employed,single,university.degree,no,no,telephone,2,0,nonexistent,no
55,blue-collar,married,basic.4y,yes,no,telephone,2,0,nonexistent,yes
48,entrepreneur,married,university.degree,yes,no,cellular,1,0,nonexistent,no
38,services,divorced,basic.6y,unknown,unknown,cellular,1,0,nonexistent,no
36,admin.,single,university.degree,no,no,cellular,1,0,nonexistent,yes
33,technician,married,basic.9y,yes,no,telephone,1,0,nonexistent,no
33,admin.,single,high.school,yes,no,cellular,3,0,nonexistent,yes
37,blue-collar,married,basic.6y,no,no,cellular,5,0,nonexistent,no
30,management,married,university.degree,yes,no,telephone,1,1,failure,no
55,services,married,high.school,no,yes,cellular,1,0,nonexistent,no
40,blue-collar,single,unknown,no,yes,telephone,2,0,nonexistent,no
37,unemployed,married,professional.course,no,yes,telephone,1,0,nonexistent,no
57,technician,married,professional.course,yes,no,cellular,1,0,nonexistent,no
33,admin.,married,university.degree,no,yes,cellular,2,0,nonexistent,no
35,blue-collar,married,basic.9y,no,no,telephone,3,0,nonexistent,no
46,technician,divorced,professional.course,yes,no,cellular,3,0,nonexistent,no
36,admin.,single,university.degree,yes,yes,cellular,7,0,nonexistent,no
54,blue-collar,single,unknown,yes,no,cellular,3,0,nonexistent,no
44,management,married,university.degree,yes,no,cellular,3,0,nonexistent,no
35,blue-collar,single,basic.4y,yes,no,cellular,5,0,nonexistent,no
52,admin.,married,high.school,yes,no,telephone,3,0,nonexistent,no
48,technician,divorced,professional.course,yes,yes,cellular,1,0,nonexistent,no
79,retired,married,basic.4y,no,yes,cellular,1,1,failure,yes
46,technician,married,professional.course,yes,yes,cellular,4,0,nonexistent,no
28,admin.,married,high.school,yes,no,cellular,3,0,nonexistent,no
49,blue-collar,married,basic.4y,yes,no,cellular,1,1,failure,no
33,blue-collar,married,basic.9y,no,no,cellular,1,0,nonexistent,yes
49,services,married,basic.4y,no,no,cellular,2,0,nonexistent,no
23,services,single,basic.9y,yes,no,cellular,1,1,failure,no
34,blue-collar,married,basic.6y,no,no,telephone,4,0,nonexistent,no
45,unemployed,married,university.degree,yes,no,telephone,3,0,nonexistent,no
34,admin.,married,high.school,yes,yes,cellular,1,0,nonexistent,yes
45,management,married,university.degree,no,no,cellular,2,0,nonexistent,no
37,entrepreneur,married,university.degree,no,no,telephone,2,1,failure,no
52,management,married,university.degree,unknown,unknown,cellular,1,0,nonexistent,yes
30,blue-collar,married,basic.4y,no,no,cellular,2,0,nonexistent,no
46,blue-collar,divorced,basic.9y,no,no,telephone,2,0,nonexistent,no
51,admin.,single,university.degree,yes,yes,cellular,3,0,nonexistent,no
32,blue-collar,divorced,basic.9y,yes,yes,cellular,6,1,failure,no
84,retired,married,high.school,no,no,cellular,1,0,nonexistent,yes
47,admin.,single,high.school,no,no,telephone,5,0,nonexistent,no
52,blue-collar,married,basic.4y,no,no,cellular,2,0,nonexistent,no
36,technician,married,basic.9y,yes,no,cellular,2,1,failure,no
32,student,single,high.school,yes,no,telephone,1,0,nonexistent,no
33,admin.,single,university.degree,yes,no,cellular,6,0,nonexistent,no
42,blue-collar,married,unknown,yes,no,telephone,1,0,nonexistent,no
27,admin.,married,high.school,yes,no,cellular,2,0,nonexistent,no
47,admin.,married,high.school,no,no,cellular,8,0,nonexistent,no
43,services,married,high.school,no,no,cellular,1,0,nonexistent,no
51,technician,married,basic.6y,yes,no,cellular,2,0,nonexistent,no
38,admin.,single,high.school,yes,no,cellular,2,1,failure,no
47,blue-collar,married,basic.9y,yes,no,telephone,3,0,nonexistent,no
43,blue-collar,married,basic.4y,yes,no,telephone,1,0,nonexistent,no
44,management,married,university.degree,no,yes,cellular,1,2,failure,no
40,admin.,single,high.school,yes,no,telephone,3,0,nonexistent,no
35,technician,single,university.degree,yes,no,telephone,15,0,nonexistent,no
46,management,married,university.degree,yes,yes,cellular,3,1,failure,no
20,student,single,high.school,yes,no,cellular,1,0,nonexistent,yes
29,admin.,married,university.degree,no,no,cellular,1,0,nonexistent,no
47,technician,married,professional.course,yes,no,cellular,1,0,nonexistent,no
54,admin.,married,university.degree,no,no,telephone,7,0,nonexistent,no
